"","lang","headverb"
"134","fi","lyödä"
"135","ru","принести"
"136","ru","раскрыть"
"137","ru","снять"
"138","ru","стартовать"
"139","fi","syödä"
"140","ru","выразить"
"141","fi","päättää"
"142","ru","завоевать"
"143","ru","обыграть"
"144","ru","превысить"
"145","fi","ilmoittaa"
"146","fi","käynnistää"
"147","fi","palkita"
"148","fi","perustaa"
"149","fi","selvittää"
"150","fi","torjua"
"151","fi","tutkia"
"152","ru","заниматься"
"153","ru","повысить"
"154","ru","покинуть"
"155","ru","продать"
"156","ru","продолжить"
"157","ru","снизить"
"158","fi","kärsiä"
"159","fi","pyytää"
"160","fi","sanoa"
"161","fi","solmia"
"162","fi","varmistaa"
"163","ru","вручить"
"164","ru","передать"
"165","ru","подарить"
"166","ru","вести"
"167","ru","обвинить"
"168","ru","поддержать"
"169","ru","прекратить"
"170","ru","решить"
"171","fi","johtaa"
"172","fi","juosta"
"173","fi","laittaa"
"174","ru","высказать"
"175","ru","давать"
"176","ru","посмотреть"
"177","ru","сыграть"
"178","fi","hyljätä"
"179","fi","katsoa"
"180","fi","kohdata"
"181","fi","pohtia"
"182","fi","työllistää"
"183","fi","vastaanottaa"
"184","fi","yllättää"
"185","ru","вызвать"
"186","ru","поднять"
"187","ru","презентовать"
"188","ru","проиграть"
"189","fi","katkaista"
"190","fi","loukata"
"191","fi","parantaa"
"192","fi","sulkia"
"193","ru","одолеть"
"194","ru","окончить"
"195","ru","отмечать"
"196","ru","отпраздновать"
"197","ru","победить"
"198","fi","kaataa"
"199","fi","kokeilla"
"200","fi","korjata"
"201","fi","pudottaa"
"202","fi","suorittaa"
"203","fi","välittää"
"204","ru","анонсировать"
"205","ru","назначить"
"206","ru","нанести"
"207","ru","организовать"
"208","ru","покупать"
"209","ru","сообщить"
"210","fi","asettaa"
"211","fi","kehittää"
"212","fi","kommentoida"
"213","fi","kukistaa"
"214","fi","lahjoittaa"
"215","fi","lopettaa"
"216","fi","muistuttaa"
"217","fi","napata"
"218","fi","palkata"
"219","fi","rakentaa"
"220","fi","tuomita"
"221","ru","занимать"
"222","ru","заявить"
"223","ru","использовать"
"224","ru","обнаружить"
"225","ru","обратить"
"226","ru","опровергнуть"
"227","ru","показывать"
"228","ru","пригласить"
"229","ru","сказать"
"230","ru","составить"
"231","fi","hoitaa"
"232","fi","juhlistaa"
"233","fi","kirjoittaa"
"234","fi","paljastaa"
"235","fi","seurata"
"236","fi","testata"
"237","fi","toteuttaa"
"238","ru","запретить"
"239","ru","комментировать"
"240","ru","предложить"
"241","ru","прокомментировать"
"242","ru","согласовать"
"243","fi","alentaa"
"244","fi","erottaa"
"245","fi","hallita"
"246","fi","kestää"
"247","fi","kiistää"
"248","fi","koota"
"249","fi","määrätä"
"250","fi","nimittää"
"251","fi","pidättää"
"252","fi","syyttää"
"253","fi","vallata"
"254","ru","восстановить"
"255","ru","выбрать"
"256","ru","выдвинуть"
"257","ru","готовить"
"258","ru","закрыть"
"259","ru","играть"
"260","ru","порадовать"
"261","ru","потерпеть"
"262","ru","предъявить"
"263","ru","сдать"
"264","fi","ampua"
"265","fi","arvostella"
"266","fi","edustaa"
"267","fi","kilpailuttaa"
"268","fi","laajentaa"
"269","fi","lanseerata"
"270","fi","ratkaista"
"271","fi","sijoittaa"
"272","fi","takavarikoida"
"273","ru","арестовать"
"274","ru","брать"
"275","ru","зарегистрировать"
"276","ru","изменить"
"277","ru","набрать"
"278","ru","отложить"
"279","ru","перенести"
"280","ru","писать"
"281","ru","понизить"
"282","ru","прийти"
"283","ru","разместить"
"284","ru","собирать"
"285","ru","сократить"
"286","fi","arvioida"
"287","fi","ehdottaa"
"288","fi","etsiä"
"289","fi","iskeä"
"290","fi","julistaa"
"291","fi","kiertää"
"292","fi","kirjata"
"293","fi","kuitata"
"294","fi","kuluttaa"
"295","fi","rikkoa"
"296","fi","tavoittaa"
"297","fi","tilittää"
"298","fi","tukea"
"299","fi","vähentää"
"300","ru","встретить"
"301","ru","выдать"
"302","ru","заказать"
"303","ru","обновить"
"304","ru","оценить"
"305","ru","подготовить"
"306","ru","представлять"
"307","ru","предупредить"
"308","ru","приговорить"
"309","ru","проходить"
"310","ru","сдавать"
"311","ru","снимать"
"312","fi","ansaita"
"313","fi","jäädä"
"314","fi","katsella"
"315","fi","keskeyttää"
"316","fi","koskea"
"317","fi","laatia"
"318","fi","luoda"
"319","fi","nimetä"
"320","fi","tappaa"
"321","fi","valmistaa"
"322","ru","выделить"
"323","ru","выйти"
"324","ru","отозвать"
"325","ru","пережить"
"326","ru","повторить"
"327","ru","поймать"
"328","ru","пользоваться"
"329","ru","продемонстрировать"
"330","ru","произвести"
"331","ru","разбить"
"332","ru","разослать"
"333","ru","рассматривать"
"334","ru","спасти"
"335","ru","уступить"
"336","fi","estää"
"337","fi","harjoittaa"
"338","fi","ilmaista"
"339","fi","kiinnittää"
"340","fi","kumota"
"341","fi","luonnehtia"
"342","fi","muistaa"
"343","fi","päästä"
"344","fi","pelastaa"
"345","fi","puhua"
"346","fi","soittaa"
"347","fi","suosia"
"348","fi","todeta"
"349","fi","tuhota"
"350","fi","uudistaa"
"351","fi","viimeistellä"
"352","ru","вывести"
"353","ru","выполнить"
"354","ru","доставить"
"355","ru","забить"
"356","ru","задавать"
"357","ru","начаться"
"358","ru","оплатить"
"359","ru","осуществить"
"360","ru","посещать"
"361","ru","предоставить"
"362","ru","привезти"
"363","ru","прислать"
"364","ru","продлить"
"365","ru","прочитать"
"366","ru","разработать"
"367","ru","сменить"
"368","ru","созвать"
"369","ru","читать"
"370","ru","чувствовать"
"371","fi","astua"
"372","fi","haastaa"
"373","fi","ihailla"
"374","fi","investoida"
"375","fi","kieltää"
"376","fi","korottaa"
"377","fi","korvata"
"378","fi","kritisoida"
"379","fi","kutsua"
"380","fi","lukea"
"381","fi","neuvotella"
"382","fi","ohittaa"
"383","fi","panna"
"384","fi","pesiä"
"385","fi","pistää"
"386","fi","surmata"
"387","fi","synnyttää"
"388","fi","tunnustaa"
"389","fi","valmistella"
"390","fi","yrittää"
"391","ru","вернуть"
"392","ru","вспомнить"
"393","ru","выбить"
"394","ru","выложить"
"395","ru","демонстрировать"
"396","ru","добавить"
"397","ru","задать"
"398","ru","закончиться"
"399","ru","зафиксировать"
"400","ru","искать"
"401","ru","наблюдать"
"402","ru","обойти"
"403","ru","оказать"
"404","ru","освободить"
"405","ru","осудить"
"406","ru","открывать"
"407","ru","оформить"
"408","ru","оштрафовать"
"409","ru","перевести"
"410","ru","переиграть"
"411","ru","понести"
"412","ru","пополнить"
"413","ru","попробовать"
"414","ru","потратить"
"415","ru","появиться"
"416","ru","праздновать"
"417","ru","пропустить"
"418","ru","рассказать"
"419","ru","родить"
"420","ru","слушать"
"421","ru","стать"
"422","ru","узнать"
"423","fi","harjoitella"
"424","fi","hyödyntää"
"425","fi","ihmetellä"
"426","fi","istua"
"427","fi","järkyttää"
"428","fi","juoda"
"429","fi","kattaa"
"430","fi","korostaa"
"431","fi","kuljettaa"
"432","fi","kuunnella"
"433","fi","kuvata"
"434","fi","luvata"
"435","fi","merkitä"
"436","fi","muodostaa"
"437","fi","odottaa"
"438","fi","ohjata"
"439","fi","painaa"
"440","fi","painua"
"441","fi","pienetä"
"442","fi","pokata"
"443","fi","pudota"
"444","fi","rahoittaa"
"445","fi","siirtää"
"446","fi","suositella"
"447","fi","tarkistaa"
"448","fi","tilata"
"449","fi","uida"
"450","fi","vakuuttaa"
"451","ru","быть"
"452","ru","взорвать"
"453","ru","возобновить"
"454","ru","выдержать"
"455","ru","забрать"
"456","ru","заметить"
"457","ru","испытывать"
"458","ru","лишить"
"459","ru","наказать"
"460","ru","напоминать"
"461","ru","отказать"
"462","ru","пить"
"463","ru","получать"
"464","ru","предлагать"
"465","ru","привести"
"466","ru","призвать"
"467","ru","продавать"
"468","ru","проинспектировать"
"469","ru","расширить"
"470","ru","реализовать"
"471","ru","сбить"
"472","ru","уведомить"
"473","ru","уверять"
"474","ru","услышать"
"475","fi","äänestää"
"476","fi","hajottaa"
"477","fi","huveta"
"478","fi","kehua"
"479","fi","kertyä"
"480","fi","kysyä"
"481","fi","laulaa"
"482","fi","listata"
"483","fi","lunastaa"
"484","fi","odotella"
"485","fi","perua"
"486","fi","perustella"
"487","fi","poikia"
"488","fi","puolustaa"
"489","fi","pysäyttää"
"490","fi","saalistaa"
"491","fi","siunata"
"492","fi","suunnitella"
"493","fi","tarkoittaa"
"494","fi","täydentää"
"495","fi","tietää"
"496","fi","todistaa"
"497","fi","toivoa"
"498","fi","viitata"
"499","fi","yhdistää"
"500","fi","yltää"
"501","ru","включить"
"502","ru","возбудить"
"503","ru","возглавить"
"504","ru","возглавлять"
"505","ru","выполнять"
"506","ru","выражать"
"507","ru","говорить"
"508","ru","дарить"
"509","ru","заказывать"
"510","ru","записать"
"511","ru","затронуть"
"512","ru","защитить"
"513","ru","издать"
"514","ru","изучить"
"515","ru","инициировать"
"516","ru","исключить"
"517","ru","испечь"
"518","ru","лишиться"
"519","ru","навестить"
"520","ru","наступить"
"521","ru","остановить"
"522","ru","отдать"
"523","ru","оценивать"
"524","ru","перевыполнить"
"525","ru","погасить"
"526","ru","подводить"
"527","ru","поздравить"
"528","ru","поменять"
"529","ru","попросить"
"530","ru","прервать"
"531","ru","проверить"
"532","ru","просить"
"533","ru","пытаться"
"534","ru","равняться"
"535","ru","ратифицировать"
"536","ru","свести"
"537","ru","слышать"
"538","ru","ставить"
"539","ru","съесть"
"540","ru","убить"
"541","ru","удивить"
"542","ru","улучшить"
"543","ru","хотеть"
